healpix_nside,pixel,ecliptic_lon_deg,ecliptic_lat_deg,detection_count
64,17195,-119.53125000000006,17.582776008425398,8
64,17196,-118.125,17.582776008425398,6
64,17197,-116.71875,17.582776008425398,4
64,17198,-115.3125,17.582776008425398,3
64,17199,-113.90625000000011,17.582776008425398,4
64,17200,-112.5,17.582776008425398,3
64,17201,-111.09375,17.582776008425398,3
64,17203,-108.28125,17.582776008425398,3
64,17204,-106.875,17.582776008425398,3
64,17205,-105.46875,17.582776008425398,5
64,17206,-104.06250000000006,17.582776008425398,23
64,17208,-101.25,17.582776008425398,1
64,17209,-99.84375,17.582776008425398,5
64,17210,-98.43750000000006,17.582776008425398,2
64,17211,-97.03125,17.582776008425398,9
64,17212,-95.625,17.582776008425398,17
64,17213,-94.21875000000006,17.582776008425398,1
64,17214,-92.8125,17.582776008425398,2
64,17217,-88.59375000000006,17.582776008425398,4
64,17220,-84.375,17.582776008425398,1
64,17222,-81.5625,17.582776008425398,2
64,17223,-80.15625,17.582776008425398,2
64,17224,-78.75000000000006,17.582776008425398,5
64,17225,-77.34375,17.582776008425398,1
64,17226,-75.9375,17.582776008425398,2
64,17227,-74.53125,17.582776008425398,3
64,17228,-73.12500000000006,17.582776008425398,2
64,17229,-71.71875,17.582776008425398,1
64,17230,-70.3125,17.582776008425398,8
64,17231,-68.90625,17.582776008425398,22
64,17236,-61.875,17.582776008425398,1
64,17244,-50.625,17.582776008425398,2
64,17248,-45.0,17.582776008425398,1
64,17249,-43.59375,17.582776008425398,3
64,17258,-30.9375,17.582776008425398,1
64,17259,-29.53125,17.582776008425398,3
64,17266,-19.6875,17.582776008425398,1
64,17274,-8.4375,17.582776008425398,3
64,17278,-2.8125,17.582776008425398,6
64,17281,2.109375,16.957763300004146,6
64,17282,3.515625,16.957763300004146,1
64,17285,7.734375,16.957763300004146,5
64,17286,9.140625,16.957763300004146,6
64,17287,10.546875,16.957763300004146,3
64,17288,11.953125,16.957763300004146,22
64,17289,13.359375,16.957763300004146,6
64,17290,14.765625,16.957763300004146,15
64,17291,16.171875,16.957763300004146,10
64,17292,17.578125,16.957763300004146,26
64,17293,18.984375,16.957763300004146,4
64,17294,20.390625,16.957763300004146,11
64,17295,21.796875,16.957763300004146,18
64,17296,23.203125,16.957763300004146,4
64,17297,24.609375,16.957763300004146,12
64,17298,26.015625,16.957763300004146,11
64,17299,27.421875,16.957763300004146,4
64,17300,28.828125,16.957763300004146,8
64,17301,30.234375,16.957763300004146,11
64,17302,31.640625,16.957763300004146,13
64,17303,33.046875,16.957763300004146,14
64,17304,34.453125,16.957763300004146,17
64,17305,35.859375,16.957763300004146,21
64,17306,37.265625,16.957763300004146,24
64,17307,38.671875,16.957763300004146,19
64,17308,40.078125,16.957763300004146,27
64,17309,41.484375,16.957763300004146,25
64,17310,42.890625,16.957763300004146,56
64,17311,44.296875,16.957763300004146,22
64,17312,45.703125,16.957763300004146,24
64,17313,47.109375,16.957763300004146,49
64,17314,48.515625,16.957763300004146,21
64,17315,49.921875,16.957763300004146,40
64,17316,51.328125,16.957763300004146,34
64,17317,52.734375,16.957763300004146,13
64,17318,54.140625,16.957763300004146,34
64,17319,55.546875,16.957763300004146,10
64,17320,56.953125,16.957763300004146,21
64,17321,58.359375,16.957763300004146,17
64,17322,59.765625,16.957763300004146,21
64,17323,61.171875,16.957763300004146,22
64,17324,62.578125,16.957763300004146,16
64,17325,63.984375,16.957763300004146,27
64,17326,65.390625,16.957763300004146,32
64,17327,66.796875,16.957763300004146,22
64,17328,68.203125,16.957763300004146,8
64,17329,69.609375,16.957763300004146,22
64,17330,71.015625,16.957763300004146,26
64,17331,72.421875,16.957763300004146,23
64,17332,73.828125,16.957763300004146,19
64,17333,75.234375,16.957763300004146,29
64,17334,76.640625,16.957763300004146,26
64,17335,78.046875,16.957763300004146,18
64,17336,79.453125,16.957763300004146,6
64,17337,80.859375,16.957763300004146,9
64,17338,82.265625,16.957763300004146,7
64,17339,83.671875,16.957763300004146,8
64,17340,85.078125,16.957763300004146,5
64,17341,86.484375,16.957763300004146,12
64,17342,87.890625,16.957763300004146,22
64,17343,89.296875,16.957763300004146,3
64,17344,90.703125,16.957763300004146,39
64,17345,92.109375,16.957763300004146,12
64,17346,93.515625,16.957763300004146,24
64,17347,94.921875,16.957763300004146,13
64,17348,96.328125,16.957763300004146,13
64,17349,97.734375,16.957763300004146,27
64,17350,99.140625,16.957763300004146,25
64,17351,100.546875,16.957763300004146,19
64,17352,101.953125,16.957763300004146,33
64,17353,103.359375,16.957763300004146,17
64,17354,104.765625,16.957763300004146,25
64,17355,106.171875,16.957763300004146,32
64,17356,107.578125,16.957763300004146,29
64,17357,108.984375,16.957763300004146,22
64,17358,110.390625,16.957763300004146,37
64,17359,111.796875,16.957763300004146,29
64,17360,113.203125,16.957763300004146,19
