healpix_nside,healpix_ordering,pixel,ra_deg,dec_deg,matched_detection_n
64,RING,8161,137.109375,41.81031489577859,4
64,RING,8165,142.734375,41.81031489577859,1
64,RING,8166,144.140625,41.81031489577859,4
64,RING,8349,40.78124999999999,41.01449966573051,1
64,RING,8374,75.9375,41.01449966573051,1
64,RING,8375,77.34375,41.01449966573051,1
64,RING,8376,78.75,41.01449966573051,2
64,RING,8377,80.15625,41.01449966573051,2
64,RING,8378,81.56249999999999,41.01449966573051,3
64,RING,8379,82.96875,41.01449966573051,6
64,RING,8380,84.37499999999999,41.01449966573051,2
64,RING,8382,87.18749999999999,41.01449966573051,6
64,RING,8384,90.0,41.01449966573051,20
64,RING,8385,91.40625,41.01449966573051,12
64,RING,8386,92.8125,41.01449966573051,8
64,RING,8387,94.21875,41.01449966573051,11
64,RING,8388,95.625,41.01449966573051,4
64,RING,8389,97.03124999999999,41.01449966573051,1
64,RING,8390,98.4375,41.01449966573051,5
64,RING,8393,102.65624999999999,41.01449966573051,7
64,RING,8395,105.46875,41.01449966573051,6
64,RING,8402,115.31249999999997,41.01449966573051,1
64,RING,8404,118.125,41.01449966573051,2
64,RING,8417,136.40625,41.01449966573051,2
64,RING,8422,143.43749999999997,41.01449966573051,4
64,RING,8603,38.671875,40.228184728061095,2
64,RING,8624,68.203125,40.228184728061095,5
64,RING,8625,69.609375,40.228184728061095,1
64,RING,8626,71.015625,40.228184728061095,5
64,RING,8627,72.421875,40.228184728061095,6
64,RING,8628,73.828125,40.228184728061095,10
64,RING,8629,75.234375,40.228184728061095,9
64,RING,8630,76.64062499999999,40.228184728061095,7
64,RING,8631,78.04687499999999,40.228184728061095,3
64,RING,8632,79.45312499999999,40.228184728061095,12
64,RING,8633,80.859375,40.228184728061095,12
64,RING,8634,82.265625,40.228184728061095,14
64,RING,8635,83.671875,40.228184728061095,8
64,RING,8636,85.078125,40.228184728061095,13
64,RING,8637,86.484375,40.228184728061095,10
64,RING,8638,87.890625,40.228184728061095,12
64,RING,8639,89.29687499999999,40.228184728061095,7
64,RING,8640,90.703125,40.228184728061095,31
64,RING,8641,92.10937499999999,40.228184728061095,38
64,RING,8642,93.51562499999999,40.228184728061095,12
64,RING,8643,94.92187499999999,40.228184728061095,26
64,RING,8644,96.328125,40.228184728061095,12
64,RING,8645,97.734375,40.228184728061095,11
64,RING,8646,99.140625,40.228184728061095,24
64,RING,8647,100.546875,40.228184728061095,25
64,RING,8648,101.953125,40.228184728061095,24
64,RING,8649,103.359375,40.228184728061095,23
64,RING,8650,104.76562499999999,40.228184728061095,34
64,RING,8651,106.171875,40.228184728061095,11
64,RING,8652,107.57812499999999,40.228184728061095,6
64,RING,8653,108.98437499999999,40.228184728061095,18
64,RING,8654,110.39062499999999,40.228184728061095,3
64,RING,8655,111.796875,40.228184728061095,3
64,RING,8659,117.42187499999999,40.228184728061095,1
64,RING,8660,118.828125,40.228184728061095,1
64,RING,8662,121.640625,40.228184728061095,2
64,RING,8672,135.70312499999997,40.228184728061095,6
64,RING,8673,137.109375,40.228184728061095,2
64,RING,8674,138.51562499999997,40.228184728061095,6
64,RING,8677,142.734375,40.228184728061095,2
64,RING,8682,149.765625,40.228184728061095,1
64,RING,8856,33.75,39.45089470914606,1
64,RING,8878,64.6875,39.45089470914606,14
64,RING,8879,66.09375,39.45089470914606,8
64,RING,8880,67.5,39.45089470914606,13
64,RING,8881,68.90625,39.45089470914606,13
64,RING,8882,70.31249999999999,39.45089470914606,14
64,RING,8883,71.71874999999999,39.45089470914606,23
64,RING,8884,73.125,39.45089470914606,27
64,RING,8885,74.53125,39.45089470914606,28
64,RING,8886,75.9375,39.45089470914606,6
64,RING,8887,77.34375,39.45089470914606,17
64,RING,8888,78.75,39.45089470914606,28
64,RING,8889,80.15625,39.45089470914606,21
64,RING,8890,81.56249999999999,39.45089470914606,17
64,RING,8891,82.96875,39.45089470914606,15
64,RING,8892,84.37499999999999,39.45089470914606,18
64,RING,8893,85.78124999999999,39.45089470914606,19
