field_id,exposure_n,night_n,first_night,last_night,open_shutter_s,center_ra_deg,center_dec_deg,nominal_pixel_n_nside512
0683,34,13,20251223,20260220,1020.0,70.29227486359125,17.017347955623674,759
0815,34,13,20251215,20260218,1020.0,62.69917965713942,18.563573119272775,759
0826,34,14,20260114,20260306,1020.0,93.88001139082019,20.92632076321428,770
0951,34,12,20251217,20260202,1020.0,66.35802615014633,21.87474896358913,758
0982,34,14,20251216,20260430,1020.0,153.12489358065307,11.314134277271375,775
1092,34,13,20251121,20260330,1020.0,82.15843123340214,26.133407495558494,778
1206,34,15,20251115,20260127,1020.0,24.130483006793835,16.019616647578555,777
1340,34,13,20251115,20260127,1020.0,21.9499073793827,18.070139999788633,777
1365,34,16,20251119,20260223,1020.0,95.2480403760567,31.592666010585848,775
1366,34,13,20251121,20260223,1020.0,98.38007067948212,31.465259519590457,755
1367,34,11,20251121,20260222,1020.0,101.50290820025643,31.2798538662629,755
1392,34,14,20251231,20260528,1020.0,171.71862882610193,12.53877473873675,775
1473,34,13,20251115,20260126,1020.0,19.77399093548925,20.121101051639982,785
1479,34,13,20251121,20260120,1020.0,36.05956848894661,25.846167903880335,758
1482,34,9,20251208,20260104,1020.0,44.62731028751162,28.320267841118767,758
1485,34,11,20251213,20260120,1020.0,53.501461036658675,30.447338968299317,775
1486,34,12,20251213,20260120,1020.0,56.52643133597956,31.068092739978116,775
1493,34,12,20251115,20260127,1020.0,78.48510437281945,33.962337841627814,752
1515,34,14,20251206,20260407,1020.0,146.3652804030714,25.076190521792974,778
1538,34,13,20260213,20260601,1020.0,205.10372794738427,1.2852091863011246,756
1599,34,6,20251115,20260620,1020.0,2.0590165586588673,15.723409815601729,777
1610,34,12,20251115,20260120,1020.0,31.251924772688415,27.139911952144733,759
1615,34,10,20251208,20260105,1020.0,45.780454530337295,31.411722782204194,776
1618,34,11,20251213,20260120,1020.0,54.956454921942466,33.50360522662864,773
1628,34,12,20251115,20260222,1020.0,87.54631178469329,37.00743144940541,763
1648,34,15,20251206,20260429,1020.0,150.25052052180493,26.63726723047458,759
1651,34,11,20251208,20260316,1020.0,158.48766707485504,23.680835262741933,759
1669,34,14,20260216,20260601,1020.0,204.2234320106132,4.514774613029736,772
1745,34,12,20251119,20260105,1020.0,44.045425038617545,33.76246848042222,772
1759,34,14,20251120,20260222,1020.0,90.59652781986298,39.698580366208496,758
0013,33,9,20251207,20260201,990.0,37.77814778598852,-4.665972518000786,755
0029,33,14,20251215,20260308,990.0,79.46349889167884,4.521565938789869,755
0160,33,11,20260110,20260308,990.0,87.58221126808755,7.579777040222726,772
0180,33,11,20251205,20260311,990.0,140.28240118414766,-1.1756676996219253,755
0408,33,14,20251207,20260123,990.0,48.054111698423995,6.988266900396238,755
0418,33,14,20251221,20260308,990.0,74.65469241203198,12.141769844331298,755
0538,33,12,20251129,20260122,990.0,40.51111732446842,7.529219284603877,775
0539,33,12,20251129,20260121,990.0,43.0856641305392,8.329054164197363,773
0832,33,12,20251204,20260306,990.0,110.91711721088781,19.557562336996067,774
0833,33,11,20251204,20260306,990.0,113.71739169233226,19.153487141188606,759
0959,33,11,20251119,20260330,990.0,89.48934686572011,23.649257079307667,760
1210,33,13,20251121,20260120,990.0,34.66483849764609,19.737602175687556,759
1236,33,13,20251124,20260426,990.0,111.1707581460439,27.632348954650677,757
1255,33,11,20251230,20260403,990.0,163.47178891435408,13.048774795130786,757
1334,33,10,20251115,20260105,990.0,6.645471762570581,11.842295099472103,755
1390,33,12,20251231,20260403,990.0,166.6648692826281,14.648562837082505,758
1488,33,13,20251214,20260127,990.0,62.67059445194374,32.163712005967525,772
1537,33,13,20260213,20260601,990.0,202.6197784061034,2.2753871496791658,773
1539,33,13,20260213,20260601,990.0,207.59457699145813,0.31497065910731575,755
1670,33,12,20260218,20260601,990.0,206.7133818662645,3.5273038806767243,772
1799,33,12,20260218,20260601,990.0,206.23503212137962,6.593963777988607,772
0032,32,13,20251129,20260308,960.0,87.49859801962367,4.902966282543656,755
0145,32,12,20251129,20260122,960.0,47.90038039562256,1.3830082234764125,735
0153,32,15,20251213,20260220,960.0,68.8143715234005,6.002298140847988,791
0181,32,10,20251205,20260311,960.0,142.8122251119178,-2.0411277662760194,772
0286,32,13,20251217,20260308,960.0,74.31886459675928,9.414914837929466,755
0311,32,10,20251205,20260311,960.0,140.81435524682658,1.4672704915472872,755
0401,32,12,20251128,20260201,960.0,30.235390984023116,1.1386760947240568,735
0421,32,13,20260108,20260330,960.0,82.84020436059463,12.774256545379714,755
0445,32,12,20251205,20260315,960.0,146.69330636071723,2.2610311429940304,771
0446,32,11,20260102,20260411,960.0,149.20539317812,1.3446067082881454,772
0529,32,12,20251119,20260127,960.0,17.91113854027351,-0.8509456476292038,755
0534,32,13,20251128,20260201,960.0,30.355271006624672,4.0360520322428135,772
0548,32,10,20251225,20260220,960.0,66.95633884613281,13.839212017612985,775
0549,32,13,20251217,20260220,960.0,69.6806518034937,14.235585035927986,775
0564,32,12,20251204,20260213,960.0,111.06995530449989,14.130729805006267,757
0580,32,13,20260102,20260411,960.0,152.84487021200474,2.8334685781815567,770
0694,32,12,20260116,20260306,960.0,101.12781371584519,17.890615661120883,767
0718,32,10,20260105,20260403,960.0,164.2344926105722,1.153637315223578,755
0821,32,14,20260107,20260330,960.0,79.58688174929588,20.62353423427672,759
0823,32,11,20260109,20260330,960.0,85.29572818206324,20.90340273374508,759
0964,32,12,20251122,20260208,960.0,104.03337656093785,23.02406631055877,760
0966,32,12,20251204,20260306,960.0,109.78965315135495,22.405656386634092,778
1093,32,12,20251119,20260330,960.0,85.13399531564788,26.25121399566556,759
1101,32,13,20251124,20260330,960.0,108.87367268560205,25.215535146425243,778
1118,32,12,20251229,20260430,960.0,155.56702013897979,13.263142421975399,758
1205,32,13,20251115,20260127,960.0,21.551776555638558,15.035393918585063,758
1209,32,13,20251119,20260115,960.0,31.995895079756362,18.8452816234802,771
1228,32,12,20251119,20260330,960.0,86.89353280780746,28.970445787084827,757
1253,32,12,20251229,20260430,960.0,158.3685593668113,15.067248378081901,765
1339,32,12,20251115,20260126,960.0,19.352508408246788,17.06513354620617,757
1344,32,12,20251121,20260120,960.0,32.57911688221221,21.88492478453069,751
1345,32,13,20251121,20260120,960.0,35.302931698877536,22.77596726591559,759
1389,32,11,20251229,20260403,960.0,164.1134561843124,15.688013163582877,758
1483,32,11,20251209,20260120,960.0,47.55132407567026,29.071081726795285,758
1495,32,11,20251115,20260127,960.0,84.93147743010971,34.27466413388941,763
1496,32,14,20251115,20260222,960.0,88.16610279212829,34.33988718459478,772
1497,32,13,20251119,20260223,960.0,91.4030400900315,34.34400868764581,753
1616,32,12,20251210,20260126,960.0,48.80090607019268,32.15351394299013,755
1642,32,15,20251201,20260310,960.0,132.81938792947045,31.76368018519553,776
1666,32,16,20260211,20260530,960.0,196.77428849079328,7.586365944396145,755
1731,32,8,20251115,20260120,960.0,4.863747853656606,19.86062488766737,759
1733,32,12,20251115,20260126,960.0,10.082695376830836,22.055698557129343,758
1757,32,11,20251115,20260222,960.0,83.65505227848813,39.587379829523,781
1770,32,15,20251125,20260216,960.0,127.65025421351835,35.72380521656628,769
1798,32,13,20260216,20260601,960.0,203.73865224053975,7.597767650049998,775
0010,31,8,20251123,20260201,930.0,30.218396731758297,-7.452184416526713,755
0028,31,13,20251215,20260308,930.0,76.79305131870392,4.291029392750305,772
0052,31,11,20251205,20260311,930.0,140.03401369581502,-3.9152834325304964,772
0151,31,11,20251213,20260220,930.0,63.51967371340074,5.1096203118031776,773
0156,31,13,20251217,20260308,930.0,76.8229789656313,6.980877996392924,791
0407,31,13,20251206,20260122,930.0,45.46909325383744,6.2477557582171634,756
0416,31,12,20251225,20260220,930.0,69.23714082932868,11.471877502062753,776
0444,31,9,20251205,20260312,930.0,144.17029082657376,3.151368675791308,772
0533,31,12,20251128,20260201,930.0,27.847821126854345,3.0986077703390453,755
0550,31,13,20251221,20260220,930.0,72.4164330988959,14.584018913510487,757
0940,31,12,20251121,20260115,930.0,36.301130969306364,14.618214842767387,775
0953,31,13,20251119,20260222,930.0,72.07573108818724,22.629035260653097,762
0957,31,12,20260109,20260330,930.0,83.65821339850591,23.52220771837218,760
0999,31,11,20260202,20260530,930.0,195.23426446955835,-6.270980673980649,755
1254,31,11,20251229,20260430,930.0,160.92906820077937,14.065785380665142,775
1256,31,12,20251230,20260403,930.0,165.99829788317365,12.018316723273795,774
1352,31,12,20251213,20260123,930.0,55.20130545162697,28.054110915158272,758
1385,31,13,20251208,20260429,930.0,153.7045419933411,19.69246572130744,759
1547,31,8,20260401,20260715,930.0,227.8979957690356,-6.504827676443045,775
1600,31,9,20251115,20260120,930.0,4.600050735735277,16.815078213744695,777
1668,31,14,20260216,20260530,930.0,201.737913645752,5.521726446881397,755
1678,31,8,20260401,20260715,930.0,226.93207116455307,-3.446233998344526,772
1794,31,13,20260211,20260530,930.0,193.7584043192877,11.787495283365354,755
1796,31,16,20260211,20260530,930.0,198.75072473200282,9.661659295465856,755
1807,31,9,20260401,20260715,930.0,226.43368056552168,-0.5108413218421699,756
1827,31,4,20260503,20260611,930.0,279.47504987802847,-6.856868807661081,755
0016,30,9,20251129,20260122,900.0,45.40454250181302,-2.1524410886633536,755
0143,30,9,20251129,20260122,900.0,42.785787857802625,-0.1697810424794615,756
0150,30,12,20251213,20260218,900.0,60.88790738319778,4.594417004299832,755
0157,30,12,20251217,20260308,900.0,79.50642779908247,7.207435388158689,773
0272,30,11,20251129,20260201,900.0,37.718351799095714,0.9741501648967775,772
0273,30,10,20251129,20260122,900.0,40.253243073012044,1.8226484242118013,772
0285,30,12,20251228,20260220,900.0,71.63053057052689,9.095328634253239,775
0288,30,12,20251223,20260308,900.0,79.71792220144879,9.905201850702174,776
0289,30,9,20260107,20260308,900.0,82.42615918113785,10.074567810481964,775
0290,30,11,20260109,20260308,900.0,85.1384155925234,10.192747550081078,755
0400,30,11,20251221,20260201,900.0,27.735697831812633,0.19309589652459938,756
0403,30,12,20251129,20260201,900.0,35.26486925443189,2.9565859880121255,755
0420,30,11,20260106,20260308,900.0,80.10561286827321,12.614002615781015,756
0530,30,11,20251119,20260127,900.0,20.38393007279611,0.1625848657865962,755
0553,30,12,20260107,20260330,900.0,80.67942753778452,15.332465031818293,757
0565,30,9,20251204,20260213,900.0,113.79109374066797,13.721258960812355,757
0578,30,12,20251230,20260429,900.0,147.82384791953973,4.697990917866157,756
0719,30,9,20260109,20260403,900.0,166.69976248108281,0.12035740371560275,756
0831,30,11,20251204,20260208,900.0,108.1028337773108,19.912940672836164,778
0941,30,12,20251121,20260123,900.0,38.92741844977518,15.46022580558598,773
0952,30,11,20251223,20260201,900.0,69.20920187351723,22.276682636068198,741
0983,30,12,20251229,20260430,900.0,155.66521033793154,10.355408009160142,774
1231,30,14,20251119,20260222,900.0,96.05618166258284,28.888073695372697,758
1232,30,15,20251122,20260222,900.0,99.1024123504777,28.74721963500951,740
1258,30,13,20251231,20260528,900.0,171.00925214217256,9.92535609121859,755
1259,30,12,20260101,20260528,900.0,173.49708096561207,8.866952870007603,775
1335,30,11,20251115,20260120,900.0,9.155330395206805,12.906102340619201,775
1388,30,11,20251229,20260430,900.0,161.54336315803718,16.714315643908822,757
1478,30,11,20251121,20260120,900.0,33.270106421990455,24.95577943141575,778
1545,30,10,20260331,20260715,900.0,222.74765527744333,-4.982533881603597,756
